domain,source_id,source_name,source_tenant_id,owner_decision,applied_status,evidence_type,proposed_value,target_identity,target_action,affected_record_count,notes
UOM,Chuyến,Chuyến,comp_1777895277336,TARGET_UOM_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_AFTER_TARGET_UOM_ID_SUPPLIED,1,Target UOM identity/type/tenant scope still required for this source label.
UOM,Con,Con,comp_1777895277336,INDEPENDENT_SOURCE_SEMANTICS,POLICY_RESOLVED,FACT + OWNER_POLICY_B1_C3,CON/KG_INDEPENDENT_NO_CONVERSION,OWNER_REQUIRED,MAP_AFTER_TARGET_UOM_ID_SUPPLIED,2229,Con and Kg remain independent; no fixed conversion.
UOM,Kg,Kg,comp_1777895277336,INDEPENDENT_SOURCE_SEMANTICS,POLICY_RESOLVED,FACT + OWNER_POLICY_B1_C3,CON/KG_INDEPENDENT_NO_CONVERSION,OWNER_REQUIRED,MAP_AFTER_TARGET_UOM_ID_SUPPLIED,100,Con and Kg remain independent; no fixed conversion.
PRODUCT,prod_1779104073246,Gà Sống,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-LIVE-GA-1779104073246,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104101173,Gà Móc,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104101173,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104118174,Gà Không Móc,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1779104146701,Gà Móc Sạch,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104146701,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104170597,Gà Móc Sạch Cắt Chân,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104170597,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104205565,Vịt Sống,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-LIVE-VIT-1779104205565,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104224062,Vịt Không Móc,comp_1777895277336,KEEP_SEPARATE,POLICY_RESOLVED,OWNER_POLICY_E1,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,One of the three exact Vịt Không Móc records; no merge. Target product/tenant remains unresolved.
PRODUCT,prod_1779104241550,Vịt Móc,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-VIT-1779104241550,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104268878,Vịt Móc Sạch,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-VIT-1779104268878,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104293541,Vịt Móc Sạch Cắt Chân,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-VIT-1779104293541,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104313397,Vịt Bọng,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1779104330830,Cánh Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104330830,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104342214,Đùi Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104342214,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104360773,Đùi Tỏi,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104360773,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104371789,Ức Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-PROCESSED-GA-1779104371789,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104388678,Gà Bọng,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1779104406958,Chân Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104406958,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104421262,Chân Vịt,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104421262,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104434102,Đầu Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104434102,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104446485,Đầu Vịt,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104446485,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104459006,Đầu Vịt Dài,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104459006,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104474430,Lòng Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104474430,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104486206,Lòng Vịt,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104486206,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104526942,Thùng Xốp,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1779104541910,Phế Phẩm,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1779104541910,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104561166,Phí Ship,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-SERVICE-1779104561166,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1779104571278,Đá,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1779104605054,Vịt Loại,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1779104619174,Gà Loại,comp_1777895277336,PRODUCT_GROUP_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,Evidence does not prove a unique group/semantics/target; retain review.
PRODUCT,prod_1781562583964,Mỡ Gà,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1781562583964,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1781656503918,Lông Vịt,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1781656503918,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1782399766159,Vịt Không Móc,comp_1780202063417,KEEP_SEPARATE,POLICY_RESOLVED,OWNER_POLICY_E1,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,One of the three exact Vịt Không Móc records; no merge. Target product/tenant remains unresolved.
PRODUCT,prod_1782399802559,Vịt Không Móc,comp_1780202063417,KEEP_SEPARATE,POLICY_RESOLVED,OWNER_POLICY_E1,OWNER_REQUIRED,OWNER_REQUIRED,OWNER_REQUIRED,1,One of the three exact Vịt Không Móc records; no merge. Target product/tenant remains unresolved.
PRODUCT,prod_1782977822236,Phao Câu,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-BYPRODUCT-1782977822236,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1786785535576,Vịt Không Móc To,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-VIT-KHONG-MOC-TO-1786785535576,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT,prod_1786785560787,Vịt Không Móc Trung,comp_1777895277336,DETERMINISTIC_CODE_PROPOSAL_ONLY,INFERRED,INFERRED,HD-VIT-KHONG-MOC-TRUNG-1786785560787,OWNER_REQUIRED,OWNER_REQUIRED,1,Deterministic proposal only; never written or treated as official code.
PRODUCT-UOM,prod_1779104073246,Gà Sống / prod_1779104073246,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104101173,Gà Móc / prod_1779104101173,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104118174,Gà Không Móc / prod_1779104118174,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104146701,Gà Móc Sạch / prod_1779104146701,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104170597,Gà Móc Sạch Cắt Chân / prod_1779104170597,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104205565,Vịt Sống / prod_1779104205565,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104224062,Vịt Không Móc / prod_1779104224062,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104241550,Vịt Móc / prod_1779104241550,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104268878,Vịt Móc Sạch / prod_1779104268878,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104293541,Vịt Móc Sạch Cắt Chân / prod_1779104293541,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104313397,Vịt Bọng / prod_1779104313397,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104330830,Cánh Gà / prod_1779104330830,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104342214,Đùi Gà / prod_1779104342214,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104360773,Đùi Tỏi / prod_1779104360773,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104371789,Ức Gà / prod_1779104371789,comp_1777895277336,NO_FIXED_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104388678,Gà Bọng / prod_1779104388678,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104406958,Chân Gà / prod_1779104406958,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104421262,Chân Vịt / prod_1779104421262,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104434102,Đầu Gà / prod_1779104434102,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104446485,Đầu Vịt / prod_1779104446485,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104459006,Đầu Vịt Dài / prod_1779104459006,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104474430,Lòng Gà / prod_1779104474430,comp_1777895277336,NO_AUTOMATIC_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104486206,Lòng Vịt / prod_1779104486206,comp_1777895277336,NO_AUTOMATIC_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1779104526942,Thùng Xốp / prod_1779104526942,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104541910,Phế Phẩm / prod_1779104541910,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104561166,Phí Ship / prod_1779104561166,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104571278,Đá / prod_1779104571278,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104605054,Vịt Loại / prod_1779104605054,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1779104619174,Gà Loại / prod_1779104619174,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1781562583964,Mỡ Gà / prod_1781562583964,comp_1777895277336,NO_AUTOMATIC_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1781656503918,Lông Vịt / prod_1781656503918,comp_1777895277336,NO_AUTOMATIC_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1782399766159,Vịt Không Móc / prod_1782399766159,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1782399802559,Vịt Không Móc / prod_1782399802559,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
PRODUCT-UOM,prod_1782977822236,Phao Câu / prod_1782977822236,comp_1777895277336,NO_AUTOMATIC_CONVERSION,POLICY_RESOLVED,FACT + OWNER_POLICY,NO_NUMERIC_CONVERSION,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Approved semantics retained; target UOM ID/role still required.
PRODUCT-UOM,prod_1786785535576,Vịt Không Móc To / prod_1786785535576,comp_1777895277336,ROLE_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_TARGET_UOM_AND_PRODUCTUNIT_ROLE,1,Provide target UOM ID and BASE/SALES/PURCHASE/INVENTORY role; do not infer conversion.
