section,record,question,current_evidence,options,recommended_option,reason,owner_required
WAREHOUSE,NOT_FOUND,"Declare the real warehouse master and map the 2,679 operational records.",2679 operational records; warehouse identity fields absent,OWNER_SUPPLIED_WAREHOUSE_MASTER,OWNER_REVIEW,No warehouse master identity or warehouseId/name/location fields were found; only companyId and operational counts are available.,YES
UOM,Bao,Confirm target UOM identity/type and approval; do not create conversion.,3 observed uses; normalized candidate=Bao,APPROVE_DIRECT_LABEL | OWNER_REVIEW,OWNER_REVIEW,"Observed source label has usage evidence, but target UOM identity/type is not directly evidenced.",YES
UOM,Bộ,Confirm target UOM identity/type and approval; do not create conversion.,48 observed uses; normalized candidate=Bộ,APPROVE_DIRECT_LABEL | OWNER_REVIEW,OWNER_REVIEW,"Observed source label has usage evidence, but target UOM identity/type is not directly evidenced.",YES
UOM,Cái,Confirm target UOM identity/type and approval; do not create conversion.,133 observed uses; normalized candidate=Cái,APPROVE_DIRECT_LABEL | OWNER_REVIEW,OWNER_REVIEW,"Observed source label has usage evidence, but target UOM identity/type is not directly evidenced.",YES
UOM,Chuyến,Confirm target UOM identity/type and approval; do not create conversion.,1 observed uses; normalized candidate=Chuyến,APPROVE_DIRECT_LABEL | OWNER_REVIEW,OWNER_REVIEW,"Observed source label has usage evidence, but target UOM identity/type is not directly evidenced.",YES
UOM,Con,Confirm target UOM identity/type and approval; do not create conversion.,2229 observed uses; normalized candidate=Con,APPROVE_DIRECT_LABEL | OWNER_REVIEW,APPROVE_DIRECT_LABEL,Direct source label equality: Con -> Con; no conversion or target record is created.,YES
UOM,Kg,Confirm target UOM identity/type and approval; do not create conversion.,100 observed uses; normalized candidate=Kg,APPROVE_DIRECT_LABEL | OWNER_REVIEW,APPROVE_DIRECT_LABEL,Direct source label equality: Kg -> Kg; no conversion or target record is created.,YES
PRODUCT,prod_1779104073246,Approve target tenant/product action and final code proposal.,undefined; category=Gà; source unit=Kg; source stockUnit=Cái; code=HD-LIVE-GA-1779104073246,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104101173,Approve target tenant/product action and final code proposal.,undefined; category=Gà; source unit=Kg; source stockUnit=Kg; code=HD-PROCESSED-GA-1779104101173,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104118174,Resolve code group and approve target tenant/product action.,undefined; category=Gà; source unit=Kg; source stockUnit=Cái; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104146701,Approve target tenant/product action and final code proposal.,undefined; category=Gà; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-GA-1779104146701,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104170597,Approve target tenant/product action and final code proposal.,undefined; category=Gà; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-GA-1779104170597,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104205565,Approve target tenant/product action and final code proposal.,undefined; category=Vịt; source unit=Kg; source stockUnit=Cái; code=HD-LIVE-VIT-1779104205565,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104224062,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Kg; source stockUnit=Kg; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104241550,Approve target tenant/product action and final code proposal.,undefined; category=Vịt; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-VIT-1779104241550,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104268878,Approve target tenant/product action and final code proposal.,undefined; category=Vịt; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-VIT-1779104268878,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104293541,Approve target tenant/product action and final code proposal.,undefined; category=Vịt; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-VIT-1779104293541,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104313397,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Kg; source stockUnit=Cái; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104330830,Approve target tenant/product action and final code proposal.,undefined; category=Gà Công Nghiệp; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-GA-1779104330830,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104342214,Approve target tenant/product action and final code proposal.,undefined; category=Gà Công Nghiệp; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-GA-1779104342214,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104360773,Approve target tenant/product action and final code proposal.,undefined; category=Gà Công Nghiệp; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-GA-1779104360773,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104371789,Approve target tenant/product action and final code proposal.,undefined; category=Gà Công Nghiệp; source unit=Kg; source stockUnit=Cái; code=HD-PROCESSED-GA-1779104371789,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104388678,Resolve code group and approve target tenant/product action.,undefined; category=Gà Công Nghiệp; source unit=Kg; source stockUnit=Cái; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104406958,Approve target tenant/product action and final code proposal.,undefined; category=Chân; source unit=Kg; source stockUnit=Cái; code=HD-BYPRODUCT-1779104406958,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104421262,Approve target tenant/product action and final code proposal.,undefined; category=Chân; source unit=Kg; source stockUnit=Cái; code=HD-BYPRODUCT-1779104421262,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104434102,Approve target tenant/product action and final code proposal.,undefined; category=Phụ; source unit=Kg; source stockUnit=Cái; code=HD-BYPRODUCT-1779104434102,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104446485,Approve target tenant/product action and final code proposal.,undefined; category=Phụ; source unit=Kg; source stockUnit=Cái; code=HD-BYPRODUCT-1779104446485,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104459006,Approve target tenant/product action and final code proposal.,undefined; category=Phụ; source unit=Kg; source stockUnit=Cái; code=HD-BYPRODUCT-1779104459006,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104474430,Approve target tenant/product action and final code proposal.,undefined; category=Lòng; source unit=Bộ; source stockUnit=Bộ; code=HD-BYPRODUCT-1779104474430,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104486206,Approve target tenant/product action and final code proposal.,undefined; category=Lòng; source unit=Bộ; source stockUnit=Bộ; code=HD-BYPRODUCT-1779104486206,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104526942,Resolve code group and approve target tenant/product action.,undefined; category=Phụ; source unit=Cái; source stockUnit=Cái; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104541910,Approve target tenant/product action and final code proposal.,undefined; category=Phụ; source unit=Kg; source stockUnit=Cái; code=HD-BYPRODUCT-1779104541910,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104561166,Approve target tenant/product action and final code proposal.,undefined; category=Phụ; source unit=Chuyến; source stockUnit=Cái; code=HD-SERVICE-1779104561166,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104571278,Resolve code group and approve target tenant/product action.,undefined; category=Phụ; source unit=Bao; source stockUnit=Cái; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104605054,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Con; source stockUnit=Con; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1779104619174,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Con; source stockUnit=Con; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1781562583964,Approve target tenant/product action and final code proposal.,undefined; category=Gà; source unit=Kg; source stockUnit=Kg; code=HD-BYPRODUCT-1781562583964,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1781656503918,Approve target tenant/product action and final code proposal.,undefined; category=Vịt; source unit=Kg; source stockUnit=Kg; code=HD-BYPRODUCT-1781656503918,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1782399766159,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Kg; source stockUnit=Kg; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1782399802559,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Kg; source stockUnit=Kg; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1782977822236,Approve target tenant/product action and final code proposal.,undefined; category=Lòng; source unit=Kg; source stockUnit=Kg; code=HD-BYPRODUCT-1782977822236,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Deterministic A1 proposal from category/name with a unique proposed code; target Product and tenant identity remain unproven. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1786785535576,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Con; source stockUnit=Con; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT,prod_1786785560787,Resolve code group and approve target tenant/product action.,undefined; category=Vịt; source unit=Con; source stockUnit=Con; code=OWNER_REVIEW,OWNER_REVIEW_CODE_GROUP | KEEP_SEPARATE | CREATE_TARGET,OWNER_REVIEW,Code group remains ambiguous in the supplied product evidence; owner review is required before assigning a final code. No target Product/tenant identity was supplied; do not create or merge by name/source ID.,YES
PRODUCT-UOM,prod_1779104073246:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104101173:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104118174:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104146701:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104170597:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104205565:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104224062:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104241550:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104268878:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104293541:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104313397:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104330830:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104342214:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104360773:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104371789:Con + Kg independent,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Con + Kg independent; conversion=NO_FIXED_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved poultry policy: CON and KG are independent; no fixed CON<->KG conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104388678:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104406958:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104421262:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104434102:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104446485:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104459006:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104474430:Bộ,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Bộ; conversion=NO_AUTOMATIC_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved byproduct policy: preserve source UOM; no automatic conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104486206:Bộ,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Bộ; conversion=NO_AUTOMATIC_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved byproduct policy: preserve source UOM; no automatic conversion. Role and approval are not source evidence.,YES
