decision_group,decision_type,source_scope,source_id,current_evidence,owner_input_required,blocking_gate,owner
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104388678,Gà Bọng; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104406958,Chân Gà; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104421262,Chân Vịt; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104434102,Đầu Gà; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104446485,Đầu Vịt; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104459006,Đầu Vịt Dài; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104474430,Lòng Gà; source tenant=comp_1777895277336; source UOM=Bộ/Bộ,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104486206,Lòng Vịt; source tenant=comp_1777895277336; source UOM=Bộ/Bộ,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104526942,Thùng Xốp; source tenant=comp_1777895277336; source UOM=Cái/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104541910,Phế Phẩm; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104561166,Phí Ship; source tenant=comp_1777895277336; source UOM=Chuyến/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104571278,Đá; source tenant=comp_1777895277336; source UOM=Bao/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104605054,Vịt Loại; source tenant=comp_1777895277336; source UOM=Con/Con,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104619174,Gà Loại; source tenant=comp_1777895277336; source UOM=Con/Con,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1781562583964,Mỡ Gà; source tenant=comp_1777895277336; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1781656503918,Lông Vịt; source tenant=comp_1777895277336; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1782399766159,Vịt Không Móc; source tenant=comp_1780202063417; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1782399802559,Vịt Không Móc; source tenant=comp_1780202063417; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1782977822236,Phao Câu; source tenant=comp_1777895277336; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1786785535576,Vịt Không Móc To; source tenant=comp_1777895277336; source UOM=Con/Con,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1786785560787,Vịt Không Móc Trung; source tenant=comp_1777895277336; source UOM=Con/Con,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
F_SERVICE_NON_INVENTORY,SERVICE_NON_INVENTORY_CLASSIFICATION,PRODUCT,prod_1779104526942,Thùng Xốp; category=Phụ; UOM=Cái/Cái,Classify as INVENTORY or NON_INVENTORY; confirm whether it participates in stock ledger,SERVICE_NON_INVENTORY,OWNER/BUSINESS
F_SERVICE_NON_INVENTORY,SERVICE_NON_INVENTORY_CLASSIFICATION,PRODUCT,prod_1779104561166,Phí Ship; category=Phụ; UOM=Chuyến/Cái,Classify as INVENTORY or NON_INVENTORY; confirm whether it participates in stock ledger,SERVICE_NON_INVENTORY,OWNER/BUSINESS
F_SERVICE_NON_INVENTORY,SERVICE_NON_INVENTORY_CLASSIFICATION,PRODUCT,prod_1779104571278,Đá; category=Phụ; UOM=Bao/Cái,Classify as INVENTORY or NON_INVENTORY; confirm whether it participates in stock ledger,SERVICE_NON_INVENTORY,OWNER/BUSINESS
